hostname,ip_address,status
WWL-SW-ED-MC-RK207,,pending
WWL-SW-ED-MC-RK4B,,pending
WWL-SW-ED-MC-RK81,,pending
WWL-SW-ED-MCAUTO-1X,,pending
WWL-SW-ED-MCAUTO-2X,,pending
WWL-SW-ED-NEWSENG-1,,pending
WWL-SW-ED-NEWSENG-2,,pending
WWL-SW-ODMZ1,,pending
WWL-SW-PH-COC1,,pending
WWL-SW-PH-COC2,,pending
WWL-SW-PH-COC3,,pending
WWL-SW-PH-COC4,,pending
WWL-SW-PH-COC5,,pending
WWL-SW-PH-NW1,,pending
WWL-SW-PH-NW2,,pending
WWL-SW-PH-NX1,,pending
WWL-SW-PH-NX2,,pending
WWL-SW-PH-TEMP-RC1,,pending
WWL-SW-PH-TEMP-RC2,,pending
WWL-SW-REM-TXC-RK25,,pending
WWL-SW-SEC-MA199,,pending
WWL-SW-SEC-NW1,,pending
WWL-SW-SEC-NX1,,pending
WXIA-UW01,,pending
WXIA-UW02,,pending
WZZM-SW01,,pending
WZZM-SW02,,pending
